Distance_Num,Bill subtotal,Packaging charges,Total,Target_Beli,Status_Transaksi
5.0,1029.05,45.31,951.51,1,Sukses (Delivered)
19.0,1027.0,36.35,763.35,0,Gagal (Cancelled/Missed)
7.0,1288.0,54.4,1142.4,1,Sukses (Delivered)
4.0,329.0,16.45,345.45,1,Sukses (Delivered)
1.0,119.05,5.95,125.0,1,Sukses (Delivered)
2.0,479.0,19.45,408.45,1,Sukses (Delivered)
5.0,1270.0,52.07,1093.47,1,Sukses (Delivered)
8.0,1675.0,83.75,1758.75,1,Sukses (Delivered)
3.0,310.0,10.5,220.5,1,Sukses (Delivered)
4.0,908.0,40.4,848.4,1,Sukses (Delivered)
1.0,458.0,17.9,375.9,1,Sukses (Delivered)
3.0,405.0,16.25,341.25,0,Gagal (Cancelled/Missed)
7.0,495.0,24.75,519.75,1,Sukses (Delivered)
5.0,435.0,10.88,228.38,1,Sukses (Delivered)
5.0,310.0,7.75,162.75,1,Sukses (Delivered)
3.0,609.0,25.95,544.95,0,Gagal (Cancelled/Missed)
4.0,928.0,46.4,974.4,1,Sukses (Delivered)
3.0,1198.0,50.9,1068.9,1,Sukses (Delivered)
5.0,479.0,19.45,408.45,1,Sukses (Delivered)
13.0,1598.0,67.92,1426.22,1,Sukses (Delivered)
7.0,777.0,34.2,718.2,1,Sukses (Delivered)
2.0,599.0,29.95,628.95,1,Sukses (Delivered)
5.0,2154.0,93.16,1956.37,1,Sukses (Delivered)
3.0,960.0,44.0,924.0,1,Sukses (Delivered)
2.0,420.0,21.0,441.0,1,Sukses (Delivered)
9.0,449.0,17.95,376.95,1,Sukses (Delivered)
1.0,747.0,31.75,666.75,1,Sukses (Delivered)
4.0,1058.0,52.9,1110.9,1,Sukses (Delivered)
2.0,325.0,12.25,257.25,1,Sukses (Delivered)
1.0,460.0,18.5,388.5,1,Sukses (Delivered)
6.0,479.0,18.95,397.95,1,Sukses (Delivered)
7.0,318.0,10.9,228.9,1,Sukses (Delivered)
3.0,649.0,32.45,681.45,1,Sukses (Delivered)
5.0,769.0,33.45,702.45,1,Sukses (Delivered)
6.0,668.0,33.4,701.4,1,Sukses (Delivered)
9.0,310.0,15.5,325.5,1,Sukses (Delivered)
7.0,479.0,18.95,397.95,1,Sukses (Delivered)
2.0,435.0,17.75,372.75,1,Sukses (Delivered)
9.0,1056.05,42.8,898.85,1,Sukses (Delivered)
6.0,449.0,17.45,366.45,1,Sukses (Delivered)
4.0,1297.0,64.85,1361.85,1,Sukses (Delivered)
2.0,599.0,29.95,628.95,1,Sukses (Delivered)
1.0,750.0,18.75,393.75,1,Sukses (Delivered)
2.0,838.0,36.95,775.95,1,Sukses (Delivered)
9.0,310.0,15.5,325.5,1,Sukses (Delivered)
2.0,405.0,16.25,341.25,1,Sukses (Delivered)
1.0,239.0,11.95,250.95,1,Sukses (Delivered)
1.0,325.0,11.75,246.75,1,Sukses (Delivered)
2.0,1078.0,53.9,1131.9,1,Sukses (Delivered)
2.0,917.0,27.79,583.54,1,Sukses (Delivered)
1.0,629.0,26.8,562.8,1,Sukses (Delivered)
9.0,1238.0,56.9,1194.9,1,Sukses (Delivered)
1.0,459.0,22.95,481.95,1,Sukses (Delivered)
4.0,907.0,35.37,742.82,1,Sukses (Delivered)
3.0,259.0,12.95,271.95,1,Sukses (Delivered)
10.0,578.0,23.9,501.9,1,Sukses (Delivered)
2.0,1026.0,41.3,867.3,1,Sukses (Delivered)
2.0,897.0,34.98,734.63,1,Sukses (Delivered)
2.0,799.0,39.95,759.05,1,Sukses (Delivered)
1.0,680.0,17.75,372.75,1,Sukses (Delivered)
3.0,897.0,38.8,814.7,1,Sukses (Delivered)
3.0,1566.0,68.3,1434.3,1,Sukses (Delivered)
4.0,489.0,24.45,513.45,1,Sukses (Delivered)
4.0,310.0,11.5,241.5,1,Sukses (Delivered)
1.0,679.0,27.95,586.95,1,Sukses (Delivered)
3.0,754.0,37.7,791.7,1,Sukses (Delivered)
4.0,405.0,20.25,425.25,1,Sukses (Delivered)
1.0,249.0,12.45,261.45,1,Sukses (Delivered)
6.0,1466.0,73.3,1539.3,1,Sukses (Delivered)
2.0,799.0,35.45,744.45,1,Sukses (Delivered)
1.0,749.0,37.45,786.45,1,Sukses (Delivered)
16.0,2116.0,89.93,1888.53,1,Sukses (Delivered)
1.0,620.0,15.5,325.5,1,Sukses (Delivered)
5.0,858.0,42.9,900.9,1,Sukses (Delivered)
4.0,2126.0,106.3,2232.3,1,Sukses (Delivered)
